ID	DOCULECT	CONCEPT	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	NOTE
1	Uipo_Maringic	one	kʰət	kʰ ə t	kʰ ə t	one	1
2	Uipo_Maringic	two	kʰəni	kʰ ə + n i	kʰ ə + n i	PFX1 two	50 2
3	Uipo_Maringic	three	kʰəjum	kʰ ə + j u m	kʰ ə + j u m	PFX1 three	50 3
4	Uipo_Maringic	four	pʰəli	pʰ ə + l i	pʰ ə + l i	PFX2 four	51 4
5	Uipo_Maringic	five	pʰəŋɑ̃	pʰ ə + ŋ ɑ̃	pʰ ə + ŋ ɑ̃	PFX2 five	51 5
6	Uipo_Maringic	six	tʰəruk	tʰ ə + r u k	tʰ ə + r u k	PFX3 six	52 6
7	Uipo_Maringic	seven	ini	i + n i	i + n i	PFX4 seven	53 7
8	Uipo_Maringic	eight	təcət	t ə + c ə t	t ə + c ə t	PFX5 eight	54 8
9	Uipo_Maringic	nine	təku	t ə + k u	t ə + k u	PFX5 nine	54 9
10	Uipo_Maringic	ten	cip–kʰəe	c i p + kʰ əe	c i p + kʰ əe	ten one	10 55
11	Uipo_Maringic	eleven	cip–ləi–kʰət	c i p + l əi + kʰ ə t	c i p + l əi + kʰ ə t	ten and one	10 56 1
12	Uipo_Maringic	twelve	cip–ləi–kʰəni	c i p + l əi + kʰ ə + n i	c i p + l əi + kʰ ə + n i	ten and PFX1 two	10 56 50 2
13	Uipo_Maringic	thirteen	cip–ləi–kʰəjum	c i p + l əi + kʰ ə + j u m	c i p + l əi + kʰ ə + j u m	ten and PFX1 three	10 56 50 3
14	Uipo_Maringic	fourteen	cip–ləi–pʰəli	c i p + l əi + pʰ ə + l i	c i p + l əi + pʰ ə + l i	ten and PFX2 four	10 56 51 4
15	Uipo_Maringic	fifteen	cip–ləi–pʰəŋɑ̃	c i p + l əi + pʰ ə + ŋ ɑ̃	c i p + l əi + pʰ ə + ŋ ɑ̃	ten and PFX2 five	10 56 51 5
16	Uipo_Maringic	sixteen	cip–ləi–tʰəruk	c i p + l əi + tʰ ə + r u k	c i p + l əi + tʰ ə + r u k	ten and PFX3 six	10 56 52 6
17	Uipo_Maringic	seventeen	cip–ləi–ini	c i p + l əi + i + n i	c i p + l əi + i + n i	ten and PFX4 seven	10 56 53 7
18	Uipo_Maringic	eighteen	cip–ləi–təcət	c i p + l əi + t ə + c ə t	c i p + l əi + t ə + c ə t	ten and PFX5 eight	10 56 54 8
19	Uipo_Maringic	nineteen	cip–ləi–təku	c i p + l əi + t ə + k u	c i p + l əi + t ə + k u	ten and PFX5 nine	10 56 54 9
20	Uipo_Maringic	twenty	som–ni–kʰəe	s o m + n i + kʰ əe	s o m + n i + kʰ əe	tens two one	20 2 55
21	Uipo_Maringic	twenty one	som–ni–ləi–kʰət	s o m + n i + l əi + kʰ ə t	s o m + n i + l əi + kʰ ə t	tens two and one	20 2 56 1
22	Uipo_Maringic	twenty two	som–ni–ləi–kʰəni	s o m + n i + l əi + kʰ ə + n i	s o m + n i + l əi + kʰ ə + n i	tens two and PFX1 two	20 2 56 50 2
23	Uipo_Maringic	twenty three	som–ni–ləi–kʰəjum	s o m + n i + l əi + kʰ ə + j u m	s o m + n i + l əi + kʰ ə + j u m	tens two and PFX1 three	20 2 56 50 3
24	Uipo_Maringic	twenty four	som–ni–ləi–pʰəli	s o m + n i + l əi + pʰ ə + l i	s o m + n i + l əi + pʰ ə + l i	tens two and PFX2 four	20 2 56 51 4
25	Uipo_Maringic	twenty five	som–ni–ləi–pʰəŋɑ̃	s o m + n i + l əi + pʰ ə + ŋ ɑ̃	s o m + n i + l əi + pʰ ə + ŋ ɑ̃	tens two and PFX2 five	20 2 56 51 5
26	Uipo_Maringic	twenty six	som–ni–ləi–tʰəruk	s o m + n i + l əi + tʰ ə + r u k	s o m + n i + l əi + tʰ ə + r u k	tens two and PFX3 six	20 2 56 52 6
27	Uipo_Maringic	twenty seven	som–ni–ləi–ini	s o m + n i + l əi + i + n i	s o m + n i + l əi + i + n i	tens two and PFX4 seven	20 2 56 53 7
28	Uipo_Maringic	twenty eight	som–ni–ləi–təcət	s o m + n i + l əi + t ə + c ə t	s o m + n i + l əi + t ə + c ə t	tens two and PFX5 eight	20 2 56 54 8
29	Uipo_Maringic	twenty nine	som–ni–ləi–təku	s o m + n i + l əi + t ə + k u	s o m + n i + l əi + t ə + k u	tens two and PFX5 nine	20 2 56 54 9
30	Uipo_Maringic	thirty	som–tʰum–kʰəe	s o m + tʰ u m + kʰ əe	s o m + tʰ u m + kʰ əe	tens three one	20 57 55
31	Uipo_Maringic	thirty one	som–tʰum–ləi–kʰət	s o m + tʰ u m + l əi + kʰ ə t	s o m + tʰ u m + l əi + kʰ ə t	tens three and one	20 57 56 1
32	Uipo_Maringic	thirty two	som–tʰum–ləi–kʰəni	s o m + tʰ u m + l əi + kʰ ə + n i	s o m + tʰ u m + l əi + kʰ ə + n i	tens three and PFX1 two	20 57 56 50 2
33	Uipo_Maringic	thirty three	som–tʰum–ləi–kʰəjum	s o m + tʰ u m + l əi + kʰ ə + j u m	s o m + tʰ u m + l əi + kʰ ə + j u m	tens three and PFX1 three	20 57 56 50 3
34	Uipo_Maringic	thirty four	som–tʰum–ləi–pʰəli	s o m + tʰ u m + l əi + pʰ ə + l i	s o m + tʰ u m + l əi + pʰ ə + l i	tens three and PFX2 four	20 57 56 51 4
35	Uipo_Maringic	thirty five	som–tʰum–ləi–pʰəŋɑ̃	s o m + tʰ u m + l əi + pʰ ə + ŋ ɑ̃	s o m + tʰ u m + l əi + pʰ ə + ŋ ɑ̃	tens three and PFX2 five	20 57 56 51 5
36	Uipo_Maringic	thirty six	som–tʰum–ləi–tʰəruk	s o m + tʰ u m + l əi + tʰ ə + r u k	s o m + tʰ u m + l əi + tʰ ə + r u k	tens three and PFX3 six	20 57 56 52 6
37	Uipo_Maringic	thirty seven	som–tʰum–ləi–ini	s o m + tʰ u m + l əi + i + n i	s o m + tʰ u m + l əi + i + n i	tens three and PFX4 seven	20 57 56 53 7
38	Uipo_Maringic	thirty eight	som–tʰum–ləi–təcət	s o m + tʰ u m + l əi + t ə + c ə t	s o m + tʰ u m + l əi + t ə + c ə t	tens three and PFX5 eight	20 57 56 54 8
